Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
23.5,22.2,26.1,32.4,39.2,41.3,45.1,43.9,33.8,37.8,24.5,23.0
21.6,29.6,27.3,35.9,32.4,41.7,37.7,46.7,36.5,26.3,25.3,20.3
23.9,24.0,23.6,29.2,41.6,36.6,36.6,45.8,39.0,36.7,29.2,23.2
26.6,20.8,23.2,30.7,30.4,41.2,44.4,44.3,40.5,32.0,28.8,21.0
21.3,26.5,31.3,30.4,38.3,41.5,40.9,39.4,32.2,28.1,26.9,25.9
21.3,20.3,33.4,26.1,44.8,36.4,45.6,44.8,35.7,33.8,27.4,22.6
26.7,24.6,27.7,33.2,32.0,49.3,44.4,37.1,35.1,32.8,30.8,20.5
24.3,18.1,32.0,33.0,33.7,42.4,41.6,39.8,34.4,29.6,25.2,22.0
20.6,20.0,29.4,32.0,36.4,34.0,37.8,38.6,44.1,32.3,28.6,24.2
23.6,24.6,25.4,31.1,34.0,43.3,34.4,41.4,38.6,30.5,26.4,21.3
20.6,26.2,29.4,26.3,29.8,35.1,39.8,52.6,32.0,32.5,26.3,20.5
20.6,24.5,34.2,30.3,36.3,43.9,46.3,31.7,40.7,34.6,30.3,23.7
22.7,23.7,27.9,30.6,31.8,45.8,43.1,44.4,45.5,38.3,29.5,23.7
16.3,23.1,34.3,28.8,37.9,35.9,35.8,32.9,41.1,27.0,29.4,21.5
16.8,19.6,17.5,31.4,32.3,44.8,42.9,38.6,30.9,40.5,30.9,21.6
20.3,21.8,31.3,33.6,42.2,42.1,43.9,46.4,35.1,24.2,27.1,23.7
19.0,22.6,28.3,39.5,32.9,44.1,37.6,41.3,42.1,31.4,29.0,18.7
22.9,27.2,26.8,32.7,34.7,49.5,42.8,35.6,34.2,34.4,26.1,18.8
19.3,25.0,28.4,33.0,39.3,38.8,42.3,37.4,38.8,33.1,28.0,20.8
17.8,18.7,20.0,31.7,31.1,36.2,36.3,44.4,40.1,29.5,26.6,22.4
26.4,25.0,27.1,24.3,36.9,35.6,43.8,37.3,33.3,31.2,27.3,23.9
21.3,22.8,29.4,31.9,41.2,35.9,44.8,42.1,36.8,30.0,28.8,27.4
22.2,22.0,33.9,32.2,29.6,39.6,47.4,41.2,24.0,29.6,24.5,25.6
17.7,25.8,25.9,41.9,36.7,41.7,47.3,37.7,32.9,35.4,33.3,22.5
20.4,27.1,24.8,31.2,37.0,41.4,35.1,51.7,36.0,33.4,24.0,22.9
22.3,26.8,26.0,33.2,39.1,44.1,37.3,44.2,32.0,29.2,23.4,20.0
18.5,21.5,31.7,31.9,31.1,40.1,44.6,30.9,43.5,35.6,30.5,22.9
23.1,23.1,29.3,27.3,30.7,47.3,44.6,41.9,31.3,33.2,29.4,22.1
20.2,25.0,25.9,36.6,38.1,38.7,44.6,37.7,35.2,35.3,28.9,24.0
21.1,26.9,30.1,35.0,37.2,53.6,61.3,45.3,37.5,34.5,28.9,20.5
